Data,Parcela,Treatment,time_last_fire,alt_sensor,temperature_threshold,tempo_sec
julho_2015,17,Bienal,2,underground,above_60,0
julho_2015,17,Bienal,2,underground,above_60,54
julho_2015,17,Bienal,2,underground,above_60,0
julho_2015,17,Bienal,2,underground,above_60,80
julho_2015,10,Bienal,2,underground,above_60,200
julho_2015,10,Bienal,2,underground,above_60,68
julho_2015,10,Bienal,2,underground,above_60,0
julho_2015,10,Bienal,2,underground,above_60,0
julho_2015,23,Bienal,2,underground,above_60,0
julho_2015,23,Bienal,2,underground,above_60,54
julho_2015,23,Bienal,2,underground,above_60,0
julho_2015,23,Bienal,2,underground,above_60,0
julho_2015,2,Bienal,2,underground,above_60,68
julho_2015,2,Bienal,2,underground,above_60,0
julho_2015,2,Bienal,2,underground,above_60,0
julho_2015,2,Bienal,2,underground,above_60,48
julho_2015,17,Bienal,2,underground,above_100,0
julho_2015,17,Bienal,2,underground,above_100,0
julho_2015,17,Bienal,2,underground,above_100,0
julho_2015,17,Bienal,2,underground,above_100,0
julho_2015,10,Bienal,2,underground,above_100,0
julho_2015,10,Bienal,2,underground,above_100,0
julho_2015,10,Bienal,2,underground,above_100,0
julho_2015,10,Bienal,2,underground,above_100,0
julho_2015,23,Bienal,2,underground,above_100,0
julho_2015,23,Bienal,2,underground,above_100,0
julho_2015,23,Bienal,2,underground,above_100,0
julho_2015,23,Bienal,2,underground,above_100,0
julho_2015,2,Bienal,2,underground,above_100,0
julho_2015,2,Bienal,2,underground,above_100,0
julho_2015,2,Bienal,2,underground,above_100,0
julho_2015,2,Bienal,2,underground,above_100,0
julho_2015,17,Bienal,2,soil,above_60,274
julho_2015,17,Bienal,2,soil,above_60,190
julho_2015,17,Bienal,2,soil,above_60,170
julho_2015,10,Bienal,2,soil,above_60,354
julho_2015,10,Bienal,2,soil,above_60,310
julho_2015,10,Bienal,2,soil,above_60,140
julho_2015,23,Bienal,2,soil,above_60,240
julho_2015,23,Bienal,2,soil,above_60,200
julho_2015,23,Bienal,2,soil,above_60,178
julho_2015,23,Bienal,2,soil,above_60,296
julho_2015,2,Bienal,2,soil,above_60,270
julho_2015,2,Bienal,2,soil,above_60,220
julho_2015,2,Bienal,2,soil,above_60,274
julho_2015,2,Bienal,2,soil,above_60,300
julho_2015,17,Bienal,2,soil,above_100,216
julho_2015,17,Bienal,2,soil,above_100,90
julho_2015,17,Bienal,2,soil,above_100,120
julho_2015,10,Bienal,2,soil,above_100,198
julho_2015,10,Bienal,2,soil,above_100,236
julho_2015,10,Bienal,2,soil,above_100,190
julho_2015,10,Bienal,2,soil,above_100,100
julho_2015,23,Bienal,2,soil,above_100,160
julho_2015,23,Bienal,2,soil,above_100,130
julho_2015,23,Bienal,2,soil,above_100,112
julho_2015,23,Bienal,2,soil,above_100,120
julho_2015,2,Bienal,2,soil,above_100,130
julho_2015,2,Bienal,2,soil,above_100,130
julho_2015,2,Bienal,2,soil,above_100,176
julho_2015,2,Bienal,2,soil,above_100,160
julho_2015,20,anual,1,underground,above_60,0
julho_2015,20,anual,1,underground,above_60,0
julho_2015,20,anual,1,underground,above_60,0
julho_2015,20,anual,1,underground,above_60,88
julho_2015,16,anual,1,underground,above_60,0
julho_2015,16,anual,1,underground,above_60,30
julho_2015,16,anual,1,underground,above_60,46
julho_2015,11,anual,1,underground,above_60,0
julho_2015,11,anual,1,underground,above_60,0
julho_2015,11,anual,1,underground,above_60,0
julho_2015,4,anual,1,underground,above_60,150
julho_2015,4,anual,1,underground,above_60,0
julho_2015,4,anual,1,underground,above_60,0
julho_2015,4,anual,1,underground,above_60,0
julho_2015,20,anual,1,underground,above_100,0
julho_2015,20,anual,1,underground,above_100,0
julho_2015,20,anual,1,underground,above_100,0
julho_2015,20,anual,1,underground,above_100,0
julho_2015,16,anual,1,underground,above_100,0
julho_2015,16,anual,1,underground,above_100,0
julho_2015,16,anual,1,underground,above_100,0
julho_2015,11,anual,1,underground,above_100,0
julho_2015,11,anual,1,underground,above_100,0
julho_2015,11,anual,1,underground,above_100,0
julho_2015,4,anual,1,underground,above_100,0
julho_2015,4,anual,1,underground,above_100,0
julho_2015,4,anual,1,underground,above_100,0
julho_2015,4,anual,1,underground,above_100,0
julho_2015,20,anual,1,soil,above_60,340
julho_2015,20,anual,1,soil,above_60,170
julho_2015,20,anual,1,soil,above_60,270
julho_2015,20,anual,1,soil,above_60,316
julho_2015,16,anual,1,soil,above_60,240
julho_2015,16,anual,1,soil,above_60,350
julho_2015,11,anual,1,soil,above_60,160
julho_2015,11,anual,1,soil,above_60,194
julho_2015,4,anual,1,soil,above_60,200
julho_2015,4,anual,1,soil,above_60,200
julho_2015,20,anual,1,soil,above_100,170
julho_2015,20,anual,1,soil,above_100,90
julho_2015,20,anual,1,soil,above_100,154
julho_2015,20,anual,1,soil,above_100,180
julho_2015,16,anual,1,soil,above_100,132
julho_2015,16,anual,1,soil,above_100,210
julho_2015,11,anual,1,soil,above_100,100
julho_2015,11,anual,1,soil,above_100,110
julho_2015,4,anual,1,soil,above_100,170
julho_2015,4,anual,1,soil,above_100,120
julho_2015,4,anual,1,soil,above_100,104
julho_2015,7,quadrienal,4,underground,above_60,44
julho_2015,7,quadrienal,4,underground,above_60,0
julho_2015,7,quadrienal,4,underground,above_60,0
julho_2015,7,quadrienal,4,underground,above_60,0
julho_2015,5,quadrienal,4,underground,above_60,0
julho_2015,5,quadrienal,4,underground,above_60,0
julho_2015,5,quadrienal,4,underground,above_60,114
julho_2015,5,quadrienal,4,underground,above_60,102
julho_2015,15,quadrienal,4,underground,above_60,224
julho_2015,15,quadrienal,4,underground,above_60,364
julho_2015,15,quadrienal,4,underground,above_60,208
julho_2015,15,quadrienal,4,underground,above_60,356
julho_2015,21,quadrienal,4,underground,above_60,158
julho_2015,21,quadrienal,4,underground,above_60,38
julho_2015,21,quadrienal,4,underground,above_60,214
julho_2015,21,quadrienal,4,underground,above_60,0
julho_2015,7,quadrienal,4,underground,above_100,0
julho_2015,7,quadrienal,4,underground,above_100,0
julho_2015,7,quadrienal,4,underground,above_100,0
julho_2015,7,quadrienal,4,underground,above_100,0
julho_2015,5,quadrienal,4,underground,above_100,0
julho_2015,5,quadrienal,4,underground,above_100,0
julho_2015,5,quadrienal,4,underground,above_100,0
julho_2015,5,quadrienal,4,underground,above_100,0
julho_2015,15,quadrienal,4,underground,above_100,84
julho_2015,15,quadrienal,4,underground,above_100,144
julho_2015,15,quadrienal,4,underground,above_100,0
julho_2015,15,quadrienal,4,underground,above_100,0
julho_2015,21,quadrienal,4,underground,above_100,36
julho_2015,21,quadrienal,4,underground,above_100,0
julho_2015,21,quadrienal,4,underground,above_100,50
julho_2015,21,quadrienal,4,underground,above_100,0
julho_2015,7,quadrienal,4,soil,above_60,504
julho_2015,7,quadrienal,4,soil,above_60,190
julho_2015,7,quadrienal,4,soil,above_60,222
julho_2015,5,quadrienal,4,soil,above_60,140
julho_2015,5,quadrienal,4,soil,above_60,310
julho_2015,5,quadrienal,4,soil,above_60,210
julho_2015,5,quadrienal,4,soil,above_60,194
julho_2015,15,quadrienal,4,soil,above_60,290
julho_2015,15,quadrienal,4,soil,above_60,330
julho_2015,15,quadrienal,4,soil,above_60,278
julho_2015,15,quadrienal,4,soil,above_60,144
julho_2015,21,quadrienal,4,soil,above_60,200
julho_2015,21,quadrienal,4,soil,above_60,190
julho_2015,21,quadrienal,4,soil,above_60,476
julho_2015,7,quadrienal,4,soil,above_100,336
julho_2015,7,quadrienal,4,soil,above_100,120
julho_2015,7,quadrienal,4,soil,above_100,148
julho_2015,5,quadrienal,4,soil,above_100,90
julho_2015,5,quadrienal,4,soil,above_100,150
julho_2015,5,quadrienal,4,soil,above_100,152
julho_2015,5,quadrienal,4,soil,above_100,118
julho_2015,15,quadrienal,4,soil,above_100,190
julho_2015,15,quadrienal,4,soil,above_100,170
julho_2015,15,quadrienal,4,soil,above_100,172
julho_2015,15,quadrienal,4,soil,above_100,98
julho_2015,21,quadrienal,4,soil,above_100,150
julho_2015,21,quadrienal,4,soil,above_100,130
julho_2015,21,quadrienal,4,soil,above_100,278
julho_2015,21,quadrienal,4,soil,above_100,402
julho_2015,17,Bienal,2,aboveground,above_60,112
julho_2015,17,Bienal,2,aboveground,above_60,118
julho_2015,10,Bienal,2,aboveground,above_60,192
julho_2015,10,Bienal,2,aboveground,above_60,78
julho_2015,10,Bienal,2,aboveground,above_60,68
julho_2015,10,Bienal,2,aboveground,above_60,120
julho_2015,23,Bienal,2,aboveground,above_60,148
julho_2015,23,Bienal,2,aboveground,above_60,136
julho_2015,23,Bienal,2,aboveground,above_60,354
julho_2015,23,Bienal,2,aboveground,above_60,128
julho_2015,2,Bienal,2,aboveground,above_60,172
julho_2015,2,Bienal,2,aboveground,above_60,110
julho_2015,2,Bienal,2,aboveground,above_60,244
julho_2015,2,Bienal,2,aboveground,above_60,268
julho_2015,17,Bienal,2,aboveground,above_100,80
julho_2015,17,Bienal,2,aboveground,above_100,82
julho_2015,17,Bienal,2,aboveground,above_100,198
julho_2015,10,Bienal,2,aboveground,above_100,118
julho_2015,10,Bienal,2,aboveground,above_100,50
julho_2015,10,Bienal,2,aboveground,above_100,36
julho_2015,10,Bienal,2,aboveground,above_100,0
julho_2015,23,Bienal,2,aboveground,above_100,102
julho_2015,23,Bienal,2,aboveground,above_100,100
julho_2015,23,Bienal,2,aboveground,above_100,92
julho_2015,2,Bienal,2,aboveground,above_100,98
julho_2015,2,Bienal,2,aboveground,above_100,80
julho_2015,2,Bienal,2,aboveground,above_100,116
julho_2015,2,Bienal,2,aboveground,above_100,178
julho_2015,20,anual,1,aboveground,above_60,152
julho_2015,20,anual,1,aboveground,above_60,136
julho_2015,20,anual,1,aboveground,above_60,72
julho_2015,20,anual,1,aboveground,above_60,116
julho_2015,16,anual,1,aboveground,above_60,120
julho_2015,16,anual,1,aboveground,above_60,98
julho_2015,16,anual,1,aboveground,above_60,122
julho_2015,11,anual,1,aboveground,above_60,92
julho_2015,11,anual,1,aboveground,above_60,100
julho_2015,11,anual,1,aboveground,above_60,66
julho_2015,4,anual,1,aboveground,above_60,84
julho_2015,4,anual,1,aboveground,above_60,104
julho_2015,4,anual,1,aboveground,above_60,98
julho_2015,20,anual,1,aboveground,above_100,100
julho_2015,20,anual,1,aboveground,above_100,76
julho_2015,20,anual,1,aboveground,above_100,22
julho_2015,20,anual,1,aboveground,above_100,68
julho_2015,16,anual,1,aboveground,above_100,86
julho_2015,16,anual,1,aboveground,above_100,58
julho_2015,16,anual,1,aboveground,above_100,80
julho_2015,11,anual,1,aboveground,above_100,66
julho_2015,11,anual,1,aboveground,above_100,60
julho_2015,11,anual,1,aboveground,above_100,38
julho_2015,4,anual,1,aboveground,above_100,50
julho_2015,4,anual,1,aboveground,above_100,64
julho_2015,4,anual,1,aboveground,above_100,64
julho_2015,7,quadrienal,4,aboveground,above_60,150
julho_2015,7,quadrienal,4,aboveground,above_60,112
julho_2015,7,quadrienal,4,aboveground,above_60,390
julho_2015,5,quadrienal,4,aboveground,above_60,90
julho_2015,5,quadrienal,4,aboveground,above_60,132
julho_2015,5,quadrienal,4,aboveground,above_60,96
julho_2015,15,quadrienal,4,aboveground,above_60,110
julho_2015,15,quadrienal,4,aboveground,above_60,124
julho_2015,15,quadrienal,4,aboveground,above_60,250
julho_2015,21,quadrienal,4,aboveground,above_60,132
julho_2015,21,quadrienal,4,aboveground,above_60,122
julho_2015,7,quadrienal,4,aboveground,above_100,114
julho_2015,7,quadrienal,4,aboveground,above_100,86
julho_2015,7,quadrienal,4,aboveground,above_100,174
julho_2015,5,quadrienal,4,aboveground,above_100,60
julho_2015,5,quadrienal,4,aboveground,above_100,100
julho_2015,5,quadrienal,4,aboveground,above_100,70
julho_2015,15,quadrienal,4,aboveground,above_100,80
julho_2015,15,quadrienal,4,aboveground,above_100,92
julho_2015,15,quadrienal,4,aboveground,above_100,92
julho_2015,21,quadrienal,4,aboveground,above_100,102
julho_2015,21,quadrienal,4,aboveground,above_100,96
julho_2015,21,quadrienal,4,aboveground,above_100,0
